category,4050,animalcompany,artwork-creative-h-and-m,artwork-dark,bj,body,cat,ceo,club,dog,evil-omen,fashionshow,good-omen,group,kids,landscape,location,lookbook,model-and-actor,musician,panorama,person,portrait-strong,product,seminude,street,uniform,wedding,withyou,zoo
4050,1.0,0.010032818013691228,0.07698927481168447,0.03324936755358841,0.037941765753930455,0.014525453201587914,-0.008774285217607645,0.014223025582313276,0.1313730085570817,-0.02859707938093839,0.004466462216488293,0.0806026806875734,0.05356370904563599,0.24979170254417662,0.052568355382041375,0.0009883590480953516,0.12325672841730156,0.00364531269040619,0.04694022328802488,0.05784598063246889,0.11631840326515934,0.028270630426370416,0.03497281995884326,-0.003989718017561372,0.05001439478169796,0.016228611477008607,0.001062758822671436,0.021307929127056775,0.007070822553565278,0.012923092268577853
animalcompany,0.010032818013691228,1.0,0.03226835458788978,0.02393905045671429,0.08648059904564072,-0.03500829641219896,0.0005776120687072875,-0.014934186943938792,0.07878172537977161,0.11824301428807711,-0.0003839143528208915,0.05155555993629382,0.05566567583382308,-0.005577938033220601,-0.014141334683279737,-0.002613172817551217,0.09056345619051126,-0.0008777125464327424,-0.03945736125911081,-0.0212711778767604,0.09517025249282214,-0.0028533980989459843,0.04145088108670126,-0.006806536731234335,-0.03173586915330577,0.006436846271847599,-0.0070326421646205554,0.026965056221233435,0.0854043167623855,0.12162364470472146
artwork-creative-h-and-m,0.07698927481168447,0.03226835458788978,1.0,0.26928678797401684,0.03473063753861373,-0.02146067911262003,0.04393138175865216,0.011402991544935492,0.3191663787896646,-0.051932643183619155,0.22688011155403984,0.19770628264700676,0.3783667591484908,0.06740009694935221,0.007503185645507954,0.011827137221882549,0.27372111223002304,0.07169576738349107,0.03761947034717615,0.06448014414975228,0.26998309861054604,-0.006546540252414434,0.21835060268354906,0.03940924463096104,0.029081297719464765,0.04489739344911589,0.008394839225401634,0.05103382974219711,0.019023411543858615,0.055913714885696165
artwork-dark,0.03324936755358841,0.02393905045671429,0.26928678797401684,1.0,0.004734370096468714,-0.018202668779925036,0.0068290026953359995,-0.005091452450775853,0.15185174763192763,-0.021469896622275372,0.4769971499663475,0.10529681223700035,0.18801024705066927,0.008931325614611544,-0.0037767392677274937,0.004794430080649614,0.18448997347306456,0.009374405926969576,-0.010202171629459375,0.012972681950562778,0.19097918129999725,-0.006442488586829353,0.0867819244927019,0.008226571927767257,-0.01381108705366795,0.012398340802864005,0.0037287279828669387,0.08525999287224208,0.011188101891787846,0.024250045350773446
bj,0.037941765753930455,0.08648059904564072,0.03473063753861373,0.004734370096468714,1.0,-0.00812595912423141,-0.007058997707161733,0.0029907469621295595,0.07575219738690742,-0.02270519198607248,-0.0010998198884507057,0.04005858819820531,0.012437024196044033,0.0368219697507139,0.0031670029404753837,-0.0015677594728306693,0.02872375624738381,0.013160518066088325,0.0763067820171002,0.040764840495252155,0.02517183976823923,0.010423849634972488,0.019226703091860975,-0.0005969089615318789,0.008513466552888671,0.014394614312825925,-0.001050365020838104,0.015938605367750804,-0.00212666185866553,-0.0014620371248269658
body,0.014525453201587914,-0.03500829641219896,-0.02146067911262003,-0.018202668779925036,-0.00812595912423141,1.0,-0.0291539218739015,-0.025530620570505216,0.003930484901044871,-0.08613572579967133,-0.0033723489536918983,-0.01662079215763649,0.002173862950099596,-0.004756447389096386,-0.02067773529757853,-0.01209987803503981,-0.013000417423268148,-0.026278970372301622,-0.0007992640686011841,-0.002119786908017078,-0.017730918982938187,-0.005886196531538088,-0.00785289891961851,-0.027435246388864222,0.323118136221024,-0.01358015858586742,-0.01763078956838488,-0.027293405326382605,-0.03244201877342378,-0.027529022378852002
cat,-0.008774285217607645,0.0005776120687072875,0.04393138175865216,0.0068290026953359995,-0.007058997707161733,-0.0291539218739015,1.0,-0.011225411584810692,-0.0028081854696188186,0.007440174573929194,-0.003173425029034512,-0.004605021718344391,0.021698759294442035,-0.0006610234644774706,-0.0120139915694922,-0.0029436903120765158,-0.006723038143774896,-0.005813776809795731,-0.035908341022848206,-0.019505336565805338,0.029017524536001708,0.0014373391625516546,-0.006153003193181413,-0.014590228734325921,-0.006007138962407014,-0.005479710145871383,-0.009144054438766858,-0.006858869099099769,0.13618100673819555,-0.009950641289345731
ceo,0.014223025582313276,-0.014934186943938792,0.011402991544935492,-0.005091452450775853,0.0029907469621295595,-0.025530620570505216,-0.011225411584810692,1.0,0.015701338460259527,-0.037526925032484094,-0.004932755336209568,0.00433097404507472,0.020320814557536145,0.17873100732811545,0.09426316469089754,-0.004781056003797842,0.016424711078210686,0.10023485335241597,0.03613094037949237,0.019038323572799803,0.0005119807448270689,-0.012524582005626946,0.01218541579463038,0.19718679121326835,-0.011692273784052359,-0.001259441772062068,0.21909199904419602,0.002181546489063969,-0.0117504468907751,-0.009713176058744563
club,0.1313730085570817,0.07878172537977161,0.3191663787896646,0.15185174763192763,0.07575219738690742,0.003930484901044871,-0.0028081854696188186,0.015701338460259527,1.0,-0.024368562840241664,0.025988112997448208,0.4561410453468038,0.2514976978776697,0.14811402602701726,0.06375880040978459,0.022417773112075524,0.44878406834738144,0.04563457762097716,0.08326890385273625,0.10122331584161261,0.45315006654971207,0.04155374078644194,0.2595551286306909,0.06265217844262032,0.027763212341088337,0.16258628319251625,0.06652106581745089,0.12059912381737119,0.06470311058284134,0.10106224904907928
dog,-0.02859707938093839,0.11824301428807711,-0.051932643183619155,-0.021469896622275372,-0.02270519198607248,-0.08613572579967133,0.007440174573929194,-0.037526925032484094,-0.024368562840241664,1.0,-0.019380305841805084,-0.025445853588075305,-0.03541387100600632,-0.012736309998126303,-0.02033788595786558,-0.01597057498878047,-0.04000907773847301,-0.042539280677819986,-0.07027387002215675,-0.02402787352506279,-0.031044559972602827,-0.030398625768752185,-0.011417319429198798,-0.024307805121974318,-0.08534632572953285,-0.01802745345703661,-0.028765028627534727,-0.023855756011683948,0.11527122357411734,0.04809636049437349
evil-omen,0.004466462216488293,-0.0003839143528208915,0.22688011155403984,0.4769971499663475,-0.0010998198884507057,-0.0033723489536918983,-0.003173425029034512,-0.004932755336209568,0.025988112997448208,-0.019380305841805084,1.0,0.01597077466420413,0.03256740130374199,0.004747628436409784,-0.004965673661272864,-0.0010224410745076433,0.02795609972905517,-0.0011523296578826096,-0.014936840001578178,-0.007372744534977962,0.03067503509319148,-0.008388945581051136,0.018724762407364714,-0.005478868408841622,-0.007958039879135419,0.0007241183480942124,-0.0030020953020047144,0.005781892081447133,-0.0027777304992897423,-9.207672039159948e-06
fashionshow,0.0806026806875734,0.05155555993629382,0.19770628264700676,0.10529681223700035,0.04005858819820531,-0.01662079215763649,-0.004605021718344391,0.00433097404507472,0.4561410453468038,-0.025445853588075305,0.01597077466420413,1.0,0.16452773494089354,0.07337164662027099,0.02870764292247927,0.03149238523302264,0.3120922592736879,0.040278673163292304,0.2259111651776759,0.04413441158494071,0.3158163731796073,0.03471390644659297,0.14159798915993516,0.02594394941625249,0.011406323773411466,0.14158270049004038,0.03713457284182623,0.07352529619867504,0.038160567874753464,0.050947958511624473
good-omen,0.05356370904563599,0.05566567583382308,0.3783667591484908,0.18801024705066927,0.012437024196044033,0.002173862950099596,0.021698759294442035,0.020320814557536145,0.2514976978776697,-0.03541387100600632,0.03256740130374199,0.16452773494089354,1.0,0.026193944084240667,0.004510898694860219,0.010253924593048563,0.2574298863782927,0.060154550058292115,0.013249618698477754,0.03570482867571848,0.31273385664657904,-0.008655610052362534,0.3531757728494631,0.06634446018983294,0.04991807896839546,0.029662367483983435,0.008875619823148656,0.047959750119435304,0.022329937644490806,0.038512236822001895
group,0.24979170254417662,-0.005577938033220601,0.06740009694935221,0.008931325614611544,0.0368219697507139,-0.004756447389096386,-0.0006610234644774706,0.17873100732811545,0.14811402602701726,-0.012736309998126303,0.004747628436409784,0.07337164662027099,0.026193944084240667,1.0,0.06718646151034684,-0.002148826672718445,0.10469974573705505,0.0030504809110181432,0.22738026850691745,0.021854764177295347,0.07954272972462288,0.029277545029395814,0.0391131931600497,0.006213454200342632,0.0603603107908812,0.02848996176981641,-0.0003824440162821614,0.007942291755460108,0.0033003219096952707,-0.0008501459529755755
kids,0.052568355382041375,-0.014141334683279737,0.007503185645507954,-0.0037767392677274937,0.0031670029404753837,-0.02067773529757853,-0.0120139915694922,0.09426316469089754,0.06375880040978459,-0.02033788595786558,-0.004965673661272864,0.02870764292247927,0.004510898694860219,0.06718646151034684,1.0,-0.004643411206703975,0.04216938543642255,0.000920846741030968,0.019276455785288478,0.04948524005714151,0.01758765423021679,0.0034496539415084654,0.010512007307679205,0.008106438744500738,0.014546188092652367,0.00882361163005248,0.020394194817342556,0.0019530110854467542,-0.003535068738473864,-0.008259585890343443
landscape,0.0009883590480953516,-0.002613172817551217,0.011827137221882549,0.004794430080649614,-0.0015677594728306693,-0.01209987803503981,-0.0029436903120765158,-0.004781056003797842,0.022417773112075524,-0.01597057498878047,-0.0010224410745076433,0.03149238523302264,0.010253924593048563,-0.002148826672718445,-0.004643411206703975,1.0,0.020981585606913933,0.003932896228582232,-0.01201209545662391,-0.004388815339880619,0.019008626878308857,-0.004430874533191978,0.002835841926110743,-0.0021797550664402307,-0.010474144019165228,0.00942894006632352,0.005837090753489641,0.0022051989507721956,-0.002711705711696602,0.006854209204227451
location,0.12325672841730156,0.09056345619051126,0.27372111223002304,0.18448997347306456,0.02872375624738381,-0.013000417423268148,-0.006723038143774896,0.016424711078210686,0.44878406834738144,-0.04000907773847301,0.02795609972905517,0.3120922592736879,0.2574298863782927,0.10469974573705505,0.04216938543642255,0.020981585606913933,1.0,0.024673351462100212,0.06980398073805652,0.04383726171311835,0.5623146352364684,0.01902351218837908,0.13471318457966053,0.022468788239292495,0.03841204973053858,0.045927513812893554,0.022415754926672228,0.12455673958059921,0.0547871758606631,0.08897439485187396
lookbook,0.00364531269040619,-0.0008777125464327424,0.07169576738349107,0.009374405926969576,0.013160518066088325,-0.026278970372301622,-0.005813776809795731,0.10023485335241597,0.04563457762097716,-0.042539280677819986,-0.0011523296578826096,0.040278673163292304,0.060154550058292115,0.0030504809110181432,0.000920846741030968,0.003932896228582232,0.024673351462100212,1.0,-0.017816429286984948,0.014360652341837072,0.1041409381293448,-0.00514212120550724,0.03856210056856587,0.031092207378025948,0.009186666155359442,0.01638585483129896,0.07777770302318737,0.03165266328021549,-0.011503581648697135,-0.008473184586706692
model-and-actor,0.04694022328802488,-0.03945736125911081,0.03761947034717615,-0.010202171629459375,0.0763067820171002,-0.0007992640686011841,-0.035908341022848206,0.03613094037949237,0.08326890385273625,-0.07027387002215675,-0.014936840001578178,0.2259111651776759,0.013249618698477754,0.22738026850691745,0.019276455785288478,-0.01201209545662391,0.06980398073805652,-0.017816429286984948,1.0,0.1654220953952187,0.006183041234113867,0.07381283969769244,0.056402640598602956,0.05040435841289336,0.034158402278662695,0.0052749192946776645,-0.010945128384034573,-0.006222891336330748,0.08658360376620611,-0.028562869405753307
musician,0.05784598063246889,-0.0212711778767604,0.06448014414975228,0.012972681950562778,0.040764840495252155,-0.002119786908017078,-0.019505336565805338,0.019038323572799803,0.10122331584161261,-0.02402787352506279,-0.007372744534977962,0.04413441158494071,0.03570482867571848,0.021854764177295347,0.04948524005714151,-0.004388815339880619,0.04383726171311835,0.014360652341837072,0.1654220953952187,1.0,0.018755280993847552,0.05429681145031793,0.018461841400505663,-0.010974599841701153,0.08058267341115485,0.016315208579432527,0.005912804396832199,0.02545234692129308,-0.01505027339541053,-0.012846198608331236
panorama,0.11631840326515934,0.09517025249282214,0.26998309861054604,0.19097918129999725,0.02517183976823923,-0.017730918982938187,0.029017524536001708,0.0005119807448270689,0.45315006654971207,-0.031044559972602827,0.03067503509319148,0.3158163731796073,0.31273385664657904,0.07954272972462288,0.01758765423021679,0.019008626878308857,0.5623146352364684,0.1041409381293448,0.006183041234113867,0.018755280993847552,1.0,0.0029912092557893063,0.14966411694131518,0.032411540136434776,-0.0024127208897011454,0.0477211159806921,0.02496924816643958,0.106956865466218,0.058378573875958004,0.09227659120303056
person,0.028270630426370416,-0.0028533980989459843,-0.006546540252414434,-0.006442488586829353,0.010423849634972488,-0.005886196531538088,0.0014373391625516546,-0.012524582005626946,0.04155374078644194,-0.030398625768752185,-0.008388945581051136,0.03471390644659297,-0.008655610052362534,0.029277545029395814,0.0034496539415084654,-0.004430874533191978,0.01902351218837908,-0.00514212120550724,0.07381283969769244,0.05429681145031793,0.0029912092557893063,1.0,-0.008220718013872027,-0.01633395687367172,0.03462393105274729,0.004271481081974584,-0.010066128276864221,0.011816371039744531,0.02717316516272537,-0.009685614347725028
portrait-strong,0.03497281995884326,0.04145088108670126,0.21835060268354906,0.0867819244927019,0.019226703091860975,-0.00785289891961851,-0.006153003193181413,0.01218541579463038,0.2595551286306909,-0.011417319429198798,0.018724762407364714,0.14159798915993516,0.3531757728494631,0.0391131931600497,0.010512007307679205,0.002835841926110743,0.13471318457966053,0.03856210056856587,0.056402640598602956,0.018461841400505663,0.14966411694131518,-0.008220718013872027,1.0,0.04832347664830104,0.010602315873743991,0.04846957264955615,0.008477096863388862,0.030460166464996254,0.011456434170886928,0.01640124111926317
product,-0.003989718017561372,-0.006806536731234335,0.03940924463096104,0.008226571927767257,-0.0005969089615318789,-0.027435246388864222,-0.014590228734325921,0.19718679121326835,0.06265217844262032,-0.024307805121974318,-0.005478868408841622,0.02594394941625249,0.06634446018983294,0.006213454200342632,0.008106438744500738,-0.0021797550664402307,0.022468788239292495,0.031092207378025948,0.05040435841289336,-0.010974599841701153,0.032411540136434776,-0.01633395687367172,0.04832347664830104,1.0,-0.028956993780812932,0.008182700650392205,0.05847079705559385,-0.0005903226885727025,0.2524872024122369,0.004185801867539734
seminude,0.05001439478169796,-0.03173586915330577,0.029081297719464765,-0.01381108705366795,0.008513466552888671,0.323118136221024,-0.006007138962407014,-0.011692273784052359,0.027763212341088337,-0.08534632572953285,-0.007958039879135419,0.011406323773411466,0.04991807896839546,0.0603603107908812,0.014546188092652367,-0.010474144019165228,0.03841204973053858,0.009186666155359442,0.034158402278662695,0.08058267341115485,-0.0024127208897011454,0.03462393105274729,0.010602315873743991,-0.028956993780812932,1.0,-0.0043715535055219345,-0.013223569732715252,-0.010494997997397034,0.013012798228269446,-0.02330080991176864
street,0.016228611477008607,0.006436846271847599,0.04489739344911589,0.012398340802864005,0.014394614312825925,-0.01358015858586742,-0.005479710145871383,-0.001259441772062068,0.16258628319251625,-0.01802745345703661,0.0007241183480942124,0.14158270049004038,0.029662367483983435,0.02848996176981641,0.00882361163005248,0.00942894006632352,0.045927513812893554,0.01638585483129896,0.0052749192946776645,0.016315208579432527,0.0477211159806921,0.004271481081974584,0.04846957264955615,0.008182700650392205,-0.0043715535055219345,1.0,0.01967066292256177,0.013835502510798636,0.004206758980871293,0.011362038950567095
uniform,0.001062758822671436,-0.0070326421646205554,0.008394839225401634,0.0037287279828669387,-0.001050365020838104,-0.01763078956838488,-0.009144054438766858,0.21909199904419602,0.06652106581745089,-0.028765028627534727,-0.0030020953020047144,0.03713457284182623,0.008875619823148656,-0.0003824440162821614,0.020394194817342556,0.005837090753489641,0.022415754926672228,0.07777770302318737,-0.010945128384034573,0.005912804396832199,0.02496924816643958,-0.010066128276864221,0.008477096863388862,0.05847079705559385,-0.013223569732715252,0.01967066292256177,1.0,0.013754500943767888,-0.005705661100958547,-0.003217930276487511
wedding,0.021307929127056775,0.026965056221233435,0.05103382974219711,0.08525999287224208,0.015938605367750804,-0.027293405326382605,-0.006858869099099769,0.002181546489063969,0.12059912381737119,-0.023855756011683948,0.005781892081447133,0.07352529619867504,0.047959750119435304,0.007942291755460108,0.0019530110854467542,0.0022051989507721956,0.12455673958059921,0.03165266328021549,-0.006222891336330748,0.02545234692129308,0.106956865466218,0.011816371039744531,0.030460166464996254,-0.0005903226885727025,-0.010494997997397034,0.013835502510798636,0.013754500943767888,1.0,0.0026014719496379973,0.010053959143178767
withyou,0.007070822553565278,0.0854043167623855,0.019023411543858615,0.011188101891787846,-0.00212666185866553,-0.03244201877342378,0.13618100673819555,-0.0117504468907751,0.06470311058284134,0.11527122357411734,-0.0027777304992897423,0.038160567874753464,0.022329937644490806,0.0033003219096952707,-0.003535068738473864,-0.002711705711696602,0.0547871758606631,-0.011503581648697135,0.08658360376620611,-0.01505027339541053,0.058378573875958004,0.02717316516272537,0.011456434170886928,0.2524872024122369,0.013012798228269446,0.004206758980871293,-0.005705661100958547,0.0026014719496379973,1.0,0.07490124228427439
zoo,0.012923092268577853,0.12162364470472146,0.055913714885696165,0.024250045350773446,-0.0014620371248269658,-0.027529022378852002,-0.009950641289345731,-0.009713176058744563,0.10106224904907928,0.04809636049437349,-9.207672039159948e-06,0.050947958511624473,0.038512236822001895,-0.0008501459529755755,-0.008259585890343443,0.006854209204227451,0.08897439485187396,-0.008473184586706692,-0.028562869405753307,-0.012846198608331236,0.09227659120303056,-0.009685614347725028,0.01640124111926317,0.004185801867539734,-0.02330080991176864,0.011362038950567095,-0.003217930276487511,0.010053959143178767,0.07490124228427439,1.0
